Designator,Mid X,Mid Y,Layer,Rotation
C1,22.733000,29.591000,top,90.000000
C10,29.092000,2.921000,top,0.000000
C2,68.453000,4.445000,top,0.000000
C3,68.462000,13.335000,top,0.000000
C4,26.788000,20.955000,top,0.000000
C5,11.176000,11.811000,top,180.000000
C6,14.859000,9.516000,top,270.000000
C7,18.424000,7.239000,top,0.000000
C8,11.049000,-0.626000,top,270.000000
C9,26.543000,-1.914000,top,270.000000
D1,68.453000,8.763000,top,90.000000
D2,19.939000,15.875000,top,135.000000
D3,18.923000,-2.667000,top,270.000000
D4,30.861000,6.985000,top,90.000000
R1,33.909000,12.065000,top,180.000000
R10,5.960000,-1.651000,top,180.000000
R2,29.092000,18.415000,top,180.000000
R3,30.108000,0.635000,top,180.000000
R4,49.022000,31.868000,top,270.000000
R5,52.324000,31.868000,top,90.000000
R6,33.909000,15.367000,top,180.000000
R9,6.722000,-4.699000,top,0.000000
VT1,57.912000,31.877000,top,180.000000
